county,pollution_level
Bedfordshire,7.1
Berkshire,6.3
Bristol,6.3
Buckinghamshire,7.0
Cambridgeshire,7.2
Cheshire,6.1
City of London,9.9
Cornwall,5.3
Cumbria,4.6
Derbyshire,7.3
Devon,5.2
Dorset,5.6
County Durham,5.7
East Riding of Yorkshire,6.4
East Sussex,6.2
Essex,7.1
Gloucestershire,5.8
Greater London,8.3
Greater Manchester,7.5
Hampshire,6.4
Herefordshire,4.7
Hertfordshire,7.4
Isle of Wight,5.7
Kent,6.8
Lancashire,6.1
Leicestershire,7.7
Lincolnshire,7.1
Merseyside,6.7
Norfolk,7.0
Northamptonshire,7.4
Northumberland,5.1
North Yorkshire,5.6
Nottinghamshire,7.6
Oxfordshire,6.6
Rutland,7.0
Shropshire,5.1
Somerset,5.5
South Yorkshire,7.2
Staffordshire,6.7
Suffolk,7.0
Surrey,7.1
Tyne and Wear,6.6
Warwickshire,6.8
West Midlands,6.9
West Sussex,6.3
West Yorkshire,7.3
Wiltshire,6.0
Worcestershire,5.7
Aberdeen City,8.2
Aberdeenshire,6.9
Angus,7.0
Argyll and Bute,4.4
Clackmannanshire,6.9
Dumfries and Galloway,6.2
Dundee City,7.9
East Ayrshire,6.2
East Dunbartonshire,6.1
East Lothian,7.7
East Renfrewshire,6.4
Edinburgh (City of Edinburgh),8.4
Falkirk,7.8
Fife,7.7
Glasgow (City of Glasgow),8.2
Highland,4.7
Inverclyde,5.7
Midlothian,7.5
Moray,5.7
Na h-Eileanan Siar (Western Isles),4.4
North Ayrshire,5.6
North Lanarkshire,7.4
Orkney Islands,5.6
Perth and Kinross,5.6
Renfrewshire,6.4
Scottish Borders,6.9
Shetland Islands,6.2
South Ayrshire,6.0
South Lanarkshire,6.6
Stirling,5.4
West Dunbartonshire,6.1
West Lothian,7.6
Blaenau Gwent,7.0
Bridgend,6.3
Caerphilly,8.0
Cardiff,9.4
Carmarthenshire,5.5
Ceredigion,4.9
Conwy,5.4
Denbighshire,5.9
Flintshire,6.7
Gwynedd,4.7
Isle of Anglesey,4.6
Merthyr Tydfil,7.1
Monmouthshire,6.3
Neath Port Talbot,6.3
Newport,8.4
Pembrokeshire,4.8
Powys,5.3
Rhondda Cynon Taf,7.3
Swansea,6.4
Torfaen,7.8
Vale of Glamorgan,6.8
Wrexham,6.5
Antrim,9.4
Armagh,8.7
Down,8.9
Fermanagh,7.4
Londonderry,8.4
Tyrone,8.1
