Region,PM2.5
City of Glasgow,8.25
City of Dundee,7.86
City of Edinburgh,8.45
City of Aberdeen,8.16
North Lanarkshire,7.44
Renfrewshire,6.43
East Dunbartonshire,6.1
West Dunbartonshire,6.13
East Renfrewshire,6.44
Falkirk,7.76
Inverclyde,5.66
West Lothian,7.64
Clackmannanshire,6.89
Fife,7.7
Midlothian,7.47
South Lanarkshire,6.61
North Ayrshire,5.61
East Lothian,7.68
East Ayrshire,6.21
South Ayrshire,6.02
Angus,7.03
Moray,5.72
Stirling,5.42
Aberdeenshire,6.94
Perth and Kinross,5.65
Scottish Borders,6.88
Dumfries and Galloway,6.15
Orkney Islands,5.62
Shetland Islands,6.23
Argyll and Bute,4.39
Highland,4.67
Na h-Eileanan Siar (Western Isles),4.39
