county,radon_level
Aberdeen City,5
Aberdeenshire,5
Angus,5
Antrim,3
Argyll and Bute,5
Armagh,5
Bedfordshire,1
Berkshire,1
Blaenau Gwent,5
Bridgend,5
Bristol,5
Buckinghamshire,1
Caerphilly,5
Cambridgeshire,1
Cardiff,5
Carmarthenshire,5
Ceredigion,5
Cheshire,3
City of London,1
Clackmannanshire,3
Conwy,5
Cornwall,5
County Durham,3
Cumbria,3
Denbighshire,5
Derbyshire,5
Devon,5
Dorset,3
Down,3
Dumfries and Galloway,3
Dundee City,3
East Ayrshire,3
East Dunbartonshire,5
East Lothian,3
East Renfrewshire,5
East Riding of Yorkshire,3
East Sussex,1
Edinburgh (City of Edinburgh),3
Essex,1
Falkirk,3
Fermanagh,5
Fife,3
Flintshire,3
Glasgow (City of Glasgow),5
Gloucestershire,5
Greater London,1
Greater Manchester,3
Gwynedd,5
Hampshire,3
Herefordshire,5
Hertfordshire,1
Highland,5
Inverclyde,5
Isle of Anglesey,3
Isle of Wight,1
Kent,1
Lancashire,3
Leicestershire,5
Lincolnshire,3
Londonderry,3
Merseyside,3
Merthyr Tydfil,5
Midlothian,3
Monmouthshire,5
Moray,5
Na h-Eileanan Siar (Western Isles),5
Neath Port Talbot,5
Newport,5
Norfolk,1
North Ayrshire,3
North Lanarkshire,5
North Yorkshire,3
Northamptonshire,5
Northumberland,5
Nottinghamshire,5
Orkney Islands,3
Oxfordshire,3
Pembrokeshire,5
Perth and Kinross,3
Powys,5
Renfrewshire,5
Rhondda Cynon Taf,5
Rutland,5
Scottish Borders,3
Shetland Islands,3
Shropshire,5
Somerset,5
South Ayrshire,3
South Lanarkshire,5
South Yorkshire,5
Staffordshire,5
Stirling,3
Suffolk,1
Surrey,1
Swansea,5
Torfaen,5
Tyne and Wear,3
Tyrone,5
Vale of Glamorgan,5
Warwickshire,5
West Dunbartonshire,5
West Lothian,3
West Midlands,5
West Sussex,1
West Yorkshire,3
Wiltshire,3
Worcestershire,5
Wrexham,3
