Region,NO2,PM10,PM2.5
Isle of Anglesey,3.203909,8.405236,4.579567
Gwynedd,3.0167,8.458935,4.745987
Conwy,4.350277,9.561927,5.418875
Denbighshire,4.686918,10.059181,5.856788
Flintshire,7.652152,11.16021,6.651215
Wrexham,7.730268,10.854053,6.492821
Powys,3.393263,9.054865,5.280707
Ceredigion,2.791172,8.788447,4.912451
Pembrokeshire,4.258241,8.836529,4.760544
Carmarthenshire,4.669207,9.426848,5.516234
Swansea,8.273347,10.457519,6.407044
Neath Port Talbot,8.284722,10.613053,6.283583
Bridgend,8.030955,10.470657,6.284917
Vale of Glamorgan,8.855219,10.873376,6.806213
Cardiff,14.262888,14.442316,9.357522
Rhondda Cynon Taf,7.954052,11.519687,7.34246
Merthyr Tydfil,6.796339,11.223314,7.140674
Caerphilly,8.748841,12.205476,7.983033
Blaenau Gwent,6.519533,10.853394,7.019231
Torfaen,8.187704,11.890987,7.802506
Monmouthshire,6.454863,10.652921,6.349191
Newport,11.940512,13.510117,8.358354


